20240207	23:38:55	59886455-e10a-40b1-8a4a-171459b20bfd	/new-page.html	GET
20240207	23:38:55	57c123e3-ea9c-442b-9236-ebed004166fa	/css/style.css	GET
20240207	23:38:55	ac309c52-4b7d-42de-9a5b-2b0d27f5709d	/img/img1.jpg	GET
20240207	23:38:55	361cc9dc-11a1-49fe-b2c2-45fd80b736ca	/new-page.html	GET
20240509	15:23:09	5e29a108-e8ae-401e-9bb2-52bdf29011e3	GET	undefined	/
20240509	15:23:09	db3b72b9-6c01-4428-86c2-0048f9579592	GET	undefined	/css/style.css
20240509	15:23:55	37a8ce1c-5ad2-424b-9089-8d46c050bb11	GET	undefined	/
20240509	15:23:55	a465c037-4d77-4e1a-98b9-7026f5d90744	GET	undefined	/css/style.css
20240509	15:25:55	926b6191-b8a0-4af0-b84c-5ebc4b4f46c7	GET	undefined	/
20240509	15:25:55	aa51e486-3fe3-43e5-b3cf-4cb06c6cc173	GET	undefined	/css/style.css
20240509	15:26:45	fa0c0935-74f4-44a7-82af-15d7f5c17977	OPTIONS	https://ogs.google.com	/
20240509	15:26:45	acecacad-49f0-4b20-a5a6-7748c37be731	GET	https://ogs.google.com	/
20240509	15:28:46	ffbed33f-3812-447a-881e-a89a68d8295c	OPTIONS	https://www.google.com	/
20240509	15:28:46	26d8de89-9d64-473d-90b7-6a0f1f591c1b	GET	https://www.google.com	/
20240509	15:32:39	1c4acbbe-9b9a-4405-b115-3fd8d6b05774	OPTIONS	https://www.google.com	/
20240509	15:32:39	35b265af-0b72-48e1-91e1-9d3eebd6297d	GET	https://www.google.com	/
20240509	15:33:13	2a457af1-b821-4ff0-b3e2-e8810dd4fa43	OPTIONS	https://www.google.com	/
20240509	15:33:13	02bcf412-63d6-4739-872c-f6d1d80f4f86	GET	https://www.google.com	/
20240509	15:34:01	74102fae-3673-447c-b883-64f56fec8eb3	OPTIONS	https://www.google.com	/
20240509	15:34:01	a994d7c3-f27c-41aa-9364-5b3e8b17ef1e	GET	https://www.google.com	/
20240509	15:40:57	55183bdc-383f-4a99-84d4-a1f5891ec8ad	GET	undefined	/
20240509	15:41:29	76892e93-3719-4a9d-8804-aef453f1bcfe	GET	undefined	/
20240509	15:41:29	beee57b4-6566-43ff-8b12-ad0481e13a20	GET	undefined	/css/style.css
20240509	15:45:57	23fc680c-b5d9-45bc-baf2-e983d6f961d5	GET	undefined	/
20240509	15:46:18	c5bc1baa-e04e-4963-b831-e10669f223d2	GET	undefined	/
20240509	15:49:06	852d9ee6-5519-4cc5-8b3d-e60ea08d10bd	GET	undefined	/dave
20240509	15:49:06	b18a7434-c1c5-42d5-af01-cca463c33c46	GET	undefined	/css/style.css
20240509	15:51:24	15fb8650-fa58-4026-9726-877359adee2e	GET	undefined	/dave
20240509	15:51:24	f0ac16b5-616d-4ffa-a469-5a33d3170681	GET	undefined	/css/style.css
20240509	20:54:41	6eebccee-f87b-4dfe-80c2-73084e7059fd	GET	undefined	/
20240509	20:54:41	2a1f9c93-d8b0-4f17-94ff-c7f92aeaf56b	GET	undefined	/css/style.css
20240509	20:54:41	ef707060-c7e0-4d30-8d64-66134ebd5d09	GET	undefined	/
20240509	20:54:47	aec58773-e656-425a-bf92-c4a591e2a460	GET	undefined	/subdir
20240509	20:54:50	7714346a-7028-44ee-8ea6-20c071f28111	GET	undefined	/subdir
20240509	20:54:58	24b8ef05-732b-4837-9ea1-cdb9afdf5428	GET	undefined	/subdir/test
20240509	20:54:59	df93a114-ce9b-49a0-a075-88214d8ee877	GET	undefined	/subdir/css/style.css
20240509	20:54:59	71ec5c8e-c7e8-4ecb-98f0-052ceeb9a64f	GET	undefined	/subdir/test
20240509	20:55:12	fdba1b27-9d33-4d2d-92d2-4f3ffb1a105d	GET	undefined	/subdir
20240509	20:55:12	93ee8607-86e0-4fdd-8bc1-69b25694878b	GET	undefined	/subdir
20240509	20:55:30	4bd478df-96a1-453f-85b0-a407e37387a5	GET	undefined	/subdir/test.html
20240509	20:55:30	db79ba07-6031-4af4-bf7d-bcaebffb06ce	GET	undefined	/subdir/css/style.css
20240509	20:55:30	7278f368-a0d1-42f7-a178-2b80898929a0	GET	undefined	/subdir/test.html
20240509	20:56:33	5dba1bd7-ca0a-41c1-b065-6bb910e2c8e0	GET	undefined	/subdir/test
20240509	20:56:33	cbffd502-4a44-46a3-b288-9d84b0d16259	GET	undefined	/subdir/test
20240509	20:57:12	b1329357-7f70-455d-a563-2b39d293dcd5	GET	undefined	/subdir/dave
20240509	20:57:12	a04c350f-43cc-457d-80d1-6081521bbf0a	GET	undefined	/subdir/css/style.css
20240509	20:57:12	a0473a81-f430-4a78-95ad-0881163f4ff2	GET	undefined	/subdir/dave
20240509	20:58:24	0b7a9255-6b18-40b3-9620-f33eff96bb5c	GET	undefined	/subdir/dave
20240509	20:58:24	31efcccb-4b5f-42eb-987c-3cb9dfeb1d6a	GET	undefined	/subdir/css/style.css
20240509	20:58:24	e3c4565e-3b56-4b3d-a57f-a1d7648c8710	GET	undefined	/subdir/dave
20240509	20:58:27	89012e37-a89d-4061-9cd2-753244b6b6b9	GET	undefined	/subdir
20240509	20:58:27	952e1bbb-1deb-425e-9f89-8f77edf1d021	GET	undefined	/subdir/
20240509	20:58:27	7f909424-9825-4861-9a20-76e7b16ba494	GET	undefined	/subdir/
20240509	21:10:25	a8b4393f-3b39-4f08-88e9-552aa8c6be88	GET	undefined	/chain
20240509	21:10:25	cbe528e2-690f-417a-8f8d-047ae9d70334	GET	undefined	/chain
20240509	21:10:48	d829ec87-44f4-4f0b-a5c9-3696073203e7	GET	undefined	/
20240509	21:10:48	afab8acf-5efe-41f4-bd90-71fb79ff8156	GET	undefined	/css/style.css
20240509	21:10:48	bc7a3aff-0c72-4f04-81cb-ec0ce6af296f	GET	undefined	/
20240509	21:10:58	f8fdb5a7-4aef-470a-b198-595a839f281b	GET	undefined	/new-page
20240509	21:10:59	4f1f2c27-204e-4833-846a-d39e65694493	GET	undefined	/img/img1.jpg
20240509	21:10:59	82c84a59-2da1-42ae-be84-aa4588a47a39	GET	undefined	/css/style.css
20240509	21:10:59	df9fd780-2a9f-4d82-89b8-17738c254607	GET	undefined	/new-page
20240509	21:11:15	47b66efa-b620-484c-96bf-a8ace3fe8a20	GET	undefined	/old-page
20240509	21:11:15	c831ca2c-f62c-47f3-ac58-70ce15f1b2ef	GET	undefined	/new-page.html
20240509	21:11:15	95967943-b093-4d1e-bc61-d29cd035c420	GET	undefined	/css/style.css
20240509	21:11:15	0f4fd90a-0881-416d-9ee8-2732daac9184	GET	undefined	/img/img1.jpg
20240509	21:11:15	4f2ff377-5e83-4d21-8046-c11948652608	GET	undefined	/new-page.html
20240509	21:11:19	b8f99b48-f0a9-4fe7-bbec-80c716f50b58	GET	undefined	/index
20240509	21:11:19	cabaee52-310a-4cb0-8dd0-c74f5e73f7ed	GET	undefined	/css/style.css
20240509	21:11:19	2dc2cf2a-60f0-4bcb-9bc3-9a42b26f6352	GET	undefined	/index
20240509	23:35:03	57a5f6fe-9bb6-4de5-824e-fabc21f4c3aa	GET	undefined	/employees
20240509	23:35:10	67b7e2a3-233c-44e7-b113-7880e10bd5f3	POST	undefined	/employees
20240509	23:38:49	a2ac5bc2-684b-4a29-94c1-ef08d46ba0f2	GET	undefined	/employees
20240509	23:40:19	d917d012-d922-4de6-900b-590593421e47	POST	undefined	/employees
20240509	23:41:05	447ad612-6bf2-40ee-8afa-4b4899ffd98e	POST	undefined	/employees
20240509	23:41:21	64e0c21f-fed0-402f-8bef-61c529ab4187	PUT	undefined	/employees
20240509	23:41:30	f529dfd1-152b-45a0-91cd-a1ba008ae8aa	DELETE	undefined	/employees
20240509	23:42:01	51a18639-6df2-46b7-8884-b8f637366cb0	GET	undefined	/employees/1
20240511	22:44:44	ab28d2ad-b33b-4a6d-a395-670e89deb557	GET	undefined	/employees
20240511	22:46:19	5391dabc-c1fc-4be7-9f72-d1535710f964	POST	undefined	/employees
20240511	22:46:44	0c6cdebe-3c3e-4b96-a1fe-ab546fc66a9e	POST	undefined	/employees
20240511	22:47:36	455593b7-9fe2-452f-8487-29b81c9ad435	PUT	undefined	/employees
20240511	22:48:24	1367d084-d551-4ece-bf57-f3d26a9040b4	PUT	undefined	/employees
20240511	22:48:44	b97e20d0-3f81-40e2-a61f-8b09cdafe5f3	DELETE	undefined	/employees
20240511	22:49:05	7365c146-cc05-46f0-9298-8d185ee708d1	GET	undefined	/employees/1
20240512	21:28:47	8714dadf-2226-42a8-a408-5a1cc709d3e4	POST	undefined	/register
20240512	21:29:39	403fc2ad-f0b3-401c-903b-d1391343727b	POST	undefined	/register
20240512	21:30:19	415630b4-7ac5-400f-9726-5b0aa7ead0b3	POST	undefined	/register
20240512	21:30:53	595c6e4a-ae67-403c-9489-755901e3211a	POST	undefined	/register
20240512	22:15:02	400b3efe-19f2-4854-aa44-d1f0063c2df7	POST	undefined	/auth
20240512	22:15:24	d81cb4f4-fd59-4a21-bc44-f4b4d5b2e6e7	POST	undefined	/auth
20240512	22:15:48	54d5161d-5dd0-4b99-b5bf-01a20788d029	POST	undefined	/register
20240516	22:59:55	e278b620-fb64-4ba7-94e1-d61da690bfee	POST	undefined	/auth
20240516	23:16:28	fc4027c9-e297-42ba-9479-3327781d6822	POST	undefined	/auth
20240517	22:14:09	25117a21-0fbb-4295-bda4-5dc900d400bd	POST	undefined	/auth
20240517	23:21:32	e8141827-8859-4541-8b43-646d1343a15d	POST	undefined	/auth
20240518	19:01:49	8ed3cd41-b9c9-44ab-8bea-07ea7acce212	POST	undefined	/auth
20240518	19:02:36	0ea3b2ae-f8f1-4e5d-8e07-b564f7e26978	GET	undefined	/employees
20240518	19:02:45	cd73dded-3870-4ad3-85f4-0644b46c8417	POST	undefined	/auth
20240518	19:02:50	633a3a03-d6e1-44fd-8c4c-a91e713205de	GET	undefined	/employees
20240518	19:11:06	00770281-abdb-4de9-b931-75ed58f9720f	POST	undefined	/auth
20240518	19:11:31	8f6bca8e-49da-4004-a8ca-c900a6bdeac4	POST	undefined	/auth
20240518	19:12:19	f7dcaa33-ed58-4d74-a0d0-8b9ff70b043a	POST	undefined	/auth
20240518	19:12:25	ccc9a1cc-65b2-4c36-99eb-e704cec985a2	GET	undefined	/employees
20240518	22:38:14	193481f0-d6f4-4107-b149-0faf5c13a63e	POST	undefined	/auth
20240518	22:39:10	4c997167-f24a-4357-86d2-34dd990d7cd7	POST	undefined	/auth
20240518	22:39:13	d929cdd7-930e-444c-8e28-aadf75f4d8b8	GET	undefined	/refresh
20240518	22:39:29	cd08536d-ec8e-4f4e-8117-15a977b99cd8	GET	undefined	/refresh
20240518	22:39:30	f6fdd12f-7abc-4e7d-806c-a428823537cf	GET	undefined	/refresh
20240518	22:39:31	cc19ac23-39a1-4d79-8777-6cfe1f724fef	GET	undefined	/refresh
20240518	22:39:32	8826aac8-bd18-49a3-8313-625583c30972	GET	undefined	/refresh
20240519	13:03:13	852ea329-f04f-43d0-8b06-49bc97de205a	POST	undefined	/auth
20240519	13:03:19	69771c30-18a9-4834-b2e5-ed4a08e144b9	GET	undefined	/logout
20240519	13:03:36	5561275d-2717-4ae5-8115-c494bdbd662e	GET	undefined	/re
20240519	13:03:38	b2c1e014-6c8a-4c52-a587-873a8b46c910	GET	undefined	/re
20240519	13:03:42	78494600-111c-4014-a335-5c65dcaaa3eb	GET	undefined	/refresh
20240519	13:04:16	cce066c3-fc0f-469c-a6bd-645f7eb96b9c	GET	undefined	/refresh
20240520	23:34:40	7fcee17e-3421-4c99-8e95-7e0d479cc208	POST	undefined	/auth
20240520	23:35:32	401aaa76-d259-4b0b-b365-23bcf5cb77c4	POST	undefined	/auth
20240520	23:35:47	9bf53876-4e8b-4a57-9804-a7ebac73d615	GET	undefined	/employees
20240520	23:35:56	46b70c9e-9ad2-4c17-8d10-77fa8ea8c0fe	POST	undefined	/auth
20240520	23:36:02	470aeaae-0b23-49cd-8484-eee1ec42636a	GET	undefined	/employees
20240520	23:36:14	979d0bf8-c211-462c-b7a8-90ac96468457	POST	undefined	/employees
20240520	23:36:47	79b8bb26-c3b5-4fd2-b40a-26be605de025	POST	undefined	/auth
20240520	23:36:54	e4038144-d14d-4897-9489-08bf6cb3842f	POST	undefined	/employees
